Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,counterbalance-w2li,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,L1H_text,L1M_text,L1L_text,L1PrH_text,L1PrM_text,L1PrL_text,L2H_text,L2M_text,L2L_text,L2PrH_text,L2PrM_text,L2PrL_text,L1H,L1M,L1L,L1PrH,L1PrM,L1PrL,L2H,L2M,L2L,L2PrH,L2PrM,L2PrL
1,1690216153530,24/07/2023 16:29:13,1690216153382,-7,24/07/2023 09:29:13,139612,5,task-661n,,30838837,BLIND,9156374,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 115.0,2560x1440,1271x1246,,Task,5,spreadsheet35,$${overridespreadsheet},,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1690216300338,24/07/2023 16:31:40,1690216299468,-7,24/07/2023 09:31:39,139612,5,task-661n,,30838837,BLIND,9156374,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 115.0,2560x1440,1271x1246,,Task,5,spreadsheet35,$${overridespreadsheet},spreadsheet35,1,1,1,Welcome,buttonB,response_button_text,144986,,,Continue,1,0,1,0,,,,,,Instructions,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>",,,,,,,,,,,,
3,1690216326365,24/07/2023 16:32:06,1690216326233,-7,24/07/2023 09:32:06,139612,5,task-661n,,30838837,BLIND,9156374,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 115.0,2560x1440,1271x1246,,Task,5,spreadsheet35,$${overridespreadsheet},spreadsheet35,1,1,2,Lottery,buttonB,response_button_text,26756,,,Continue,1,1,0,0,,,,,,Instructions,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>",,,,,,,,,,,,
4,1690216330016,24/07/2023 16:32:10,1690216329923,-7,24/07/2023 09:32:09,139612,5,task-661n,,30838837,BLIND,9156374,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 115.0,2560x1440,1271x1246,,Task,5,spreadsheet35,$${overridespreadsheet},spreadsheet35,1,1,3,FixationCross,buttonB,response_button_text,3684,,,Continue,1,1,0,0,,,,,,Instructions,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>",,,,,,,,,,,,
5,1690216335882,24/07/2023 16:32:15,1690216335776,-7,24/07/2023 09:32:15,139612,5,task-661n,,30838837,BLIND,9156374,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 115.0,2560x1440,1271x1246,,Task,5,spreadsheet35,$${overridespreadsheet},spreadsheet35,1,1,4,Choice,buttonA,response_button_text,5847,,,Back,1,0,1,0,,,,,,Instructions,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>",,,,,,,,,,,,
6,1690216336464,24/07/2023 16:32:16,1690216336303,-7,24/07/2023 09:32:16,139612,5,task-661n,,30838837,BLIND,9156374,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 115.0,2560x1440,1271x1246,,Task,5,spreadsheet35,$${overridespreadsheet},spreadsheet35,1,1,3,FixationCross,buttonA,response_button_text,518,,,Back,1,0,1,0,,,,,,Instructions,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>",,,,,,,,,,,,
7,1690216338717,24/07/2023 16:32:18,1690216338530,-7,24/07/2023 09:32:18,139612,5,task-661n,,30838837,BLIND,9156374,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 115.0,2560x1440,1271x1246,,Task,5,spreadsheet35,$${overridespreadsheet},spreadsheet35,1,1,2,Lottery,buttonB,response_button_text,2223,,,Continue,1,1,0,0,,,,,,Instructions,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>",,,,,,,,,,,,
8,1690216339062,24/07/2023 16:32:19,1690216338912,-7,24/07/2023 09:32:18,139612,5,task-661n,,30838837,BLIND,9156374,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 115.0,2560x1440,1271x1246,,Task,5,spreadsheet35,$${overridespreadsheet},spreadsheet35,1,1,3,FixationCross,buttonB,response_button_text,379,,,Continue,1,1,0,0,,,,,,Instructions,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>",,,,,,,,,,,,
9,1690216350403,24/07/2023 16:32:30,1690216350299,-7,24/07/2023 09:32:30,139612,5,task-661n,,30838837,BLIND,9156374,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 115.0,2560x1440,1271x1246,,Task,5,spreadsheet35,$${overridespreadsheet},spreadsheet35,1,1,4,Choice,buttonB,response_button_text,11382,,,Continue,1,1,0,0,,,,,,Instructions,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>",,,,,,,,,,,,
10,1690216351573,24/07/2023 16:32:31,1690216351468,-7,24/07/2023 09:32:31,139612,5,task-661n,,30838837,BLIND,9156374,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 115.0,2560x1440,1271x1246,,Task,5,spreadsheet35,$${overridespreadsheet},spreadsheet35,1,1,5,Ready,buttonB,response_button_text,1165,,,Continue,1,1,0,0,,,,,,Instructions,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>",,,,,,,,,,,,
11,1690216360426,24/07/2023 16:32:40,1690216360320,-7,24/07/2023 09:32:40,139612,5,task-661n,,30838837,BLIND,9156374,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 115.0,2560x1440,1271x1246,,Task,5,spreadsheet35,$${overridespreadsheet},spreadsheet35,1,1,6,PracticeStart,Zone1,response_keyboard_single,8848,,,right,1,0,1,0,,,,,,Instructions,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>",,,,,,,,,,,,
